pickup_datetime,dropoff_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
2014-04-01,462503,462503,462503,462503,462503
2014-04-02,483841,483841,483841,483841,483841
2014-04-03,499912,499912,499912,499912,499912
2014-04-04,544519,544519,544519,544519,544519
2014-04-05,543175,543175,543175,543175,543175
2014-04-06,475267,475267,475267,475267,475267
2014-04-07,460614,460614,460614,460614,460614
2014-04-08,467018,467018,467018,467018,467018
2014-04-09,484663,484663,484663,484663,484663
2014-04-10,498870,498870,498870,498870,498870
2014-04-11,506025,506025,506025,506025,506025
2014-04-12,540202,540202,540202,540202,540202
2014-04-13,472041,472041,472041,472041,472041
2014-04-14,419268,419268,419268,419268,419268
2014-04-15,481424,481424,481424,481424,481424
2014-04-16,495438,495438,495438,495438,495438
2014-04-17,508415,508415,508415,508415,508415
2014-04-18,514893,514893,514893,514893,514893
2014-04-19,483916,483916,483916,483916,483916
2014-04-20,429066,429066,429066,429066,429066
2014-04-21,421347,421347,421347,421347,421347
2014-04-22,463407,463407,463407,463407,463407
2014-04-23,501335,501335,501335,501335,501335
2014-04-24,505056,505056,505056,505056,505056
2014-04-25,526282,526282,526282,526282,526282
2014-04-26,540090,540090,540090,540090,540090
2014-04-27,473210,473210,473210,473210,473210
2014-04-28,436246,436246,436246,436246,436246
2014-04-29,483147,483147,483147,483147,483147
2014-04-30,497569,497569,497569,497569,497569
2014-05-01,492691,492691,492691,492691,492691
2014-05-02,516985,516985,516985,516985,516985
2014-05-03,544063,544063,544063,544063,544063
2014-05-04,475789,475789,475789,475789,475789
2014-05-05,461342,461342,461342,461342,461342
2014-05-06,483245,483245,483245,483245,483245
2014-05-07,484552,484552,484552,484552,484552
2014-05-08,508104,508104,508104,508104,508104
2014-05-09,523936,523936,523936,523936,523936
2014-05-10,527537,527537,527537,527537,527537
2014-05-11,454120,454120,454120,454120,454120
2014-05-12,437492,437492,437492,437492,437492
2014-05-13,473044,473044,473044,473044,473044
2014-05-14,466666,466666,466666,466666,466666
2014-05-15,495003,495003,495003,495003,495003
2014-05-16,515834,515834,515834,515834,515834
2014-05-17,506831,506831,506831,506831,506831
2014-05-18,473932,473932,473932,473932,473932
2014-05-19,452923,452923,452923,452923,452923
2014-05-20,472199,472199,472199,472199,472199
2014-05-21,483979,483979,483979,483979,483979
2014-05-22,489262,489262,489262,489262,489262
2014-05-23,495859,495859,495859,495859,495859
2014-05-24,413311,413311,413311,413311,413311
2014-05-25,378073,378073,378073,378073,378073
2014-05-26,336173,336173,336173,336173,336173
2014-05-27,432969,432969,432969,432969,432969
2014-05-28,472420,472420,472420,472420,472420
2014-05-29,489739,489739,489739,489739,489739
2014-05-30,503977,503977,503977,503977,503977
2014-05-31,511991,511991,511991,511991,511991
2014-06-01,435163,435163,435163,435163,435163
2014-06-02,428122,428122,428122,428122,428122
2014-06-03,462670,462670,462670,462670,462670
2014-06-04,482348,482348,482348,482348,482348
2014-06-05,501694,501694,501694,501694,501694
2014-06-06,495170,495170,495170,495170,495170
2014-06-07,504156,504156,504156,504156,504156
2014-06-08,434856,434856,434856,434856,434856
2014-06-09,440162,440162,440162,440162,440162
2014-06-10,463614,463614,463614,463614,463614
2014-06-11,477219,477219,477219,477219,477219
2014-06-12,498857,498857,498857,498857,498857
2014-06-13,496516,496516,496516,496516,496516
2014-06-14,487611,487611,487611,487611,487611
2014-06-15,414417,414417,414417,414417,414417
2014-06-16,423175,423175,423175,423175,423175
2014-06-17,449368,449368,449368,449368,449368
2014-06-18,472667,472667,472667,472667,472667
2014-06-19,487104,487104,487104,487104,487104
2014-06-20,485548,485548,485548,485548,485548
2014-06-21,473409,473409,473409,473409,473409
2014-06-22,430757,430757,430757,430757,430757
2014-06-23,413205,413205,413205,413205,413205
2014-06-24,441878,441878,441878,441878,441878
2014-06-25,468089,468089,468089,468089,468089
2014-06-26,486884,486884,486884,486884,486884
2014-06-27,474158,474158,474158,474158,474158
2014-06-28,472015,472015,472015,472015,472015
2014-06-29,402696,402696,402696,402696,402696
2014-06-30,409501,409501,409501,409501,409501
